Month,L,M,S,2nd (2.3rd),5th,10th,25th,50th,75th,90th,95th,98th (97.7th)
0,1,34.4618,0.03686,31.92128,32.37241,32.83389,33.60502,34.4618,35.31858,36.08971,36.55119,37.0023239
1,1,37.2759,0.03133,34.94019,35.35495,35.77923,36.48819,37.2759,38.06361,38.77257,39.19685,39.6116079
2,1,39.1285,0.02997,36.78314,37.19961,37.62565,38.33754,39.1285,39.91946,40.63135,41.05739,41.4738623
3,1,40.5135,0.02918,38.14913,38.56898,38.99847,39.71613,40.5135,41.31087,42.02853,42.45802,42.8778679
4,1,41.6317,0.02868,39.24371,39.66775,40.10153,40.82636,41.6317,42.43704,43.16187,43.59565,44.0196943
5,1,42.5576,0.02837,40.14288,40.57167,41.01031,41.74325,42.5576,43.37195,44.10489,44.54353,44.9723182
6,1,43.3306,0.02817,40.88935,41.32285,41.76631,42.5073,43.3306,44.1539,44.89489,45.33835,45.771846
7,1,43.9803,0.02804,41.51388,41.95185,42.39988,43.14851,43.9803,44.81209,45.56072,46.00875,46.4467152
8,1,44.53,0.02796,42.03988,42.48206,42.93439,43.69022,44.53,45.36978,46.12561,46.57794,47.0201176
9,1,44.9998,0.02792,42.48701,42.93322,43.38967,44.15237,44.9998,45.84723,46.60993,47.06638,47.5125888
10,1,45.4051,0.0279,42.8715,43.3214,43.78163,44.55065,45.4051,46.25955,47.02857,47.4888,47.9387046
11,1,45.7573,0.02789,43.20496,43.65819,44.12182,44.89654,45.7573,46.61806,47.39278,47.85641,48.3096422
12,1,46.0661,0.02789,43.49653,43.95282,44.41958,45.19953,46.0661,46.93267,47.71262,48.17938,48.6356671
13,1,46.3395,0.02789,43.75468,44.21368,44.68321,45.46778,46.3395,47.21122,47.99579,48.46532,48.9243173
14,1,46.5844,0.02791,43.98406,44.44581,44.91816,45.70745,46.5844,47.46135,48.25064,48.72299,49.1847412
15,1,46.806,0.02792,44.19235,44.65647,45.13124,45.92456,46.806,47.68744,48.48076,48.95553,49.419647
16,1,47.0088,0.02795,44.38101,44.84763,45.32497,46.12259,47.0088,47.89501,48.69263,49.16997,49.6365919
17,1,47.1962,0.02797,44.55604,45.02487,45.50445,46.30582,47.1962,48.08658,48.88795,49.36753,49.8363554
18,1,47.3711,0.028,44.71832,45.18938,45.67126,46.47646,47.3711,48.26574,49.07094,49.55282,50.0238816
19,1,47.5357,0.02803,44.87085,45.34405,45.82813,46.63699,47.5357,48.43441,49.24327,49.72735,50.2005513
20,1,47.6919,0.02806,45.01543,45.4907,45.97688,46.78927,47.6919,48.59453,49.40692,49.8931,50.3683694
21,1,47.8408,0.0281,45.15215,45.62958,46.11798,46.93407,47.8408,48.74753,49.56362,50.05202,50.529453
22,1,47.9833,0.02813,45.28376,45.76313,46.2535,47.07289,47.9833,48.89371,49.7131,50.20347,50.6828405
23,1,48.1201,0.02817,45.40901,45.89043,46.3829,47.2058,48.1201,49.0344,49.8573,50.34977,50.8311864
24,1,48.2515,0.02821,45.52915,46.01257,46.50708,47.3334,48.2515,49.1696,49.99592,50.49043,50.9738496
25,1,48.3788,0.02825,45.64467,46.12973,46.62692,47.45664,48.3788,49.29996,50.1266,50.62215,51.1083898
26,1,48.502,0.02829,45.75763,46.24488,46.74455,47.58116,48.502,49.42284,50.25143,50.74912,51.2376363
27,1,48.6217,0.02833,45.86661,46.3562,46.85806,47.70135,48.6217,49.54205,50.37294,50.87349,51.3643886
28,1,48.7382,0.02838,45.97294,46.46408,46.96898,47.81864,48.7382,49.65876,50.49119,50.99539,51.4888083
29,1,48.8519,0.02842,46.07698,46.5688,47.0766,47.93335,48.8519,49.77244,50.60664,51.11429,51.6103762
30,1,48.9632,0.02846,46.17894,46.67052,47.18112,48.04566,48.9632,49.88374,50.71901,51.23088,51.7296661
31,1,49.0723,0.0285,46.27912,46.76952,47.28277,48.15574,49.0723,49.99286,50.82843,51.34532,51.8467676
32,1,49.1795,0.02854,46.37767,46.866,47.38173,48.2637,49.1795,50.09998,50.935,51.45772,51.9618488
33,1,49.2849,0.02858,46.47478,46.96018,47.47812,48.36965,49.2849,50.2053,51.03885,51.56816,52.0751046
34,1,49.3886,0.02862,46.57057,47.0522,47.57209,48.4737,49.3886,50.30891,51.14012,51.67669,52.1866314
35,1,49.4907,0.02866,46.66517,47.14229,47.66376,48.5759,49.4907,50.41092,51.23894,51.78338,52.2965373
36,1,49.5913,0.0287,46.75867,47.23057,47.75324,48.67633,49.5913,50.51142,51.33542,51.88828,52.4049061
